event_id,id,title,genre,country,year,director,Length,Lang/Kurz,
B011,70,Gasland,documentary,USA,01.01.2010,Josh Fox,,Lang,
B012,71,Kurt und der Sessellift,documentary,Schweiz,01.01.2012,Thais Odermatt,,Lang,
B013,72,Le Dimanche en Famille,documentary,Schweiz,01.01.2013,Annie Gisler,26,Lang,
B014,73,Das kurze Leben des J.A. Gutierrez,documentary,Schweiz,01.01.2006,Heidi Specogna,89,Lang,
B015,74,Venus Boyz,documentary,Schweiz,01.01.2002,Gabriel Baur,,Lang,
B016,75,Mit dem Bauch durch die Wand,documentary,Schweiz,01.01.2011,Anka Schmid,93,Lang,
B017,76,Bödälä – Dance the Rhythm ,documentary,Schweiz,01.01.2010,Gitta Gsell,,Lang,
B018,77,Goodnight Nobody,documentary,Schweiz,01.01.2010,Jacqueline Zünd,,Lang,
B019,78,Harry-Dean Stanton: Partly Fiction ,documentary,Schweiz,01.01.2012,Sophie Huber,,Lang,
B020,79,Virgin Tales,documentary,Schweiz,01.01.2012,Mirjam von Arx,,Lang,
B021,80,Forbidden Voices,documentary,Schweiz,01.01.2012,Barbara Miller,,Lang,
B022,81,Life in Progress,documentary,Schweiz,01.01.2015,Irene Loebell,,Lang,
B023,82,x,x,x,x,x,,Lang,
B024,83,Plug & Play,animation,Schweiz,01.01.2015,"Michael Frei, Mario von Rickenbach",,Lang,
B026,84,x,x,x,x,x,,,
B027,86,«Die Gstettensaga: The Rise of Echsenfriedl»,sci-fi_fantasy,Österreich,01.01.2014,Günther Friesinger,,Kurz,
B028,87,Wir sind morgen,game_music_theatre,Schweiz,01.01.2015,Simon Dietersdorf,90,,
B030,88,The Camera: Je or La Camera: I,documentary,USA,01.01.1977,Babette Mangolte,,,
B031,89,BlowBack,game_music_theatre,Deutschland,01.01.2015,Elodie Pascal,90,Lang,
B032,90,Struggle in Jerash,documentary,Jordan,01.01.2008,Eileen Simpson and Ben White,62,,
B033,91,x,x,x,x,x,,Lang,
B034,100,x,x,x,x,x,,,
B036,102,Tekkonkinkreet,animation,Japan,01.01.2006,Michael Arias,,,
B037,103,Spirited Away,animation,Japan,01.01.2001,Hayao Miyazaki,,Kurz,
B038,104,Akira,animation,Japan,01.01.1988,Katsuhiro Ôtomo,,,
B039,105,Summer Wars,animation,Japan,01.01.2009,"Mamoru Hosoda,",,Lang,
B040,106,Grave of the Fireflies,animation,Japan,01.01.1988,Isao Takahata,,Lang,
B041,107,Le mépris,drama_romance,Frankreich,01.01.1963,Jean-Luc Godard,,Lang,
B042,108,Living in Oblivion,drama_romance,USA,01.01.1995,Tom DiCillo,,Lang,
B043,109,Hollywood Ending,comedy,USA,01.01.2002,Woody Allen,,Lang,
B044,110,También la lluvia,drama_romance,Spanien,01.01.2010,Icíar Bollaín,103,Lang,
B045,111,Where the Condors Fly,documentary,Schweiz,01.01.2012,Carlos Klein,90,Lang,
B046,112,Antichrist,drama_romance,Dänemark,01.01.2009,Lars von Trier,,Lang,
B047,113,C‘est arrivé près de chez vous,thriller_horror,Belgien,01.01.1992,Rémy Belvaux,95,Lang,
B048,114,Ken Park,drama_romance,Niederlande,01.01.2002,Larry Clark,,Lang,
B049,115,Ex Drummer,drama_romance,Belgien,01.01.2007,Koen Mortier,,Lang,
B050,116,Irréversibel,drama_romance,Frankreich,01.01.2002,Gaspar Noé,97,Lang,
B051,117,Fantômas,drama_romance,Frankreich,01.01.1913,Louis Feuillade,,Lang,
B052,118,Kaktéus,comedy,Schweiz,01.01.2014,Matthias Sahli,10,Lang,
B052,119,Wir sind alle Schottwiler,documentary,Schweiz,01.01.2015,Marco Arrigoni,15,Lang,
B052,120,Aquarium,drama_romance,Schweiz,01.01.2015,Cosima Frei,16,Lang,
B052,121,Kleine Helden,drama_romance,Schweiz,01.01.2014,Fabienne Andreoli,9,Kurz,
B052,122,Ticket To Ride,drama_romance,Schweiz,01.01.2014,Manuela Rüegg,12,Kurz,
B052,123,Destiny,drama_romance,Schweiz,01.01.2015,Wendy Pillonel,16,Kurz,
B052,124,Albert Ruppert,drama_romance,Schweiz,01.01.2014,Pablo Callisaya,12,Kurz,
B052,125,Der Fotograf,drama_romance,Schweiz,01.01.2014,Kim Allamand,19,Kurz,
B052,126,De Letscht Fall,drama_romance,Schweiz,01.01.2015,Luca Ribler,19,Kurz,
B052,127,Was bleibt,x,Schweiz,01.01.2014,Oliver Rogers,,Kurz,
B052,128,Paläontologie,drama_romance,Schweiz,01.01.2015,Pablo Callisaya,14,Kurz,
B052,129,Mäge,drama_romance,Schweiz,01.01.2015,Lisa Brühlmann,21,Kurz,
B052,130,Die guten Schweizers,x,Schweiz,01.01.2014,Marco Arrigoni,,Kurz,
B052,131,Zimmer ohne Aussicht,drama_romance,Schweiz,01.01.2014,Johannes Bachmann,10,Kurz,
B052,132,Jing,x,Schweiz,01.01.2015,Jan-Eric Mack,,Kurz,
B052,133,Parasit,drama_romance,Schweiz,01.01.2014,Diego Hauenstein,11,Kurz,
B052,134,Invincible,x,Schweiz,01.01.2015,Anna Furrer,,Kurz,
B052,135,Driven,thriller_horror,Schweiz,01.01.2013,Johannes Bachmann,9,Kurz,
B052,136,Chum guet hei,x,Schweiz,01.01.2015,Natascha Vavrina,,Kurz,
B052,137,Teufel,drama_romance,Schweiz,01.01.2015,Yasmin Joerg,15,Kurz, 
B053,138,Everyday Rebellion,documentary,Schweiz,01.01.2013,"Arash T. Riahi, Arman T. Riahi",,Lang,
B053,139,Fort McMoney - Vote Rogers Mayor,documentary,Schweiz,01.01.2015,David Dufresne,52,Lang,
B054,140,Nachtdialoger,drama_romance,Schweiz,01.01.2015,Moritz Willenegger,,Kurz,
B054,141,Inland,drama_romance,Schweiz,01.01.2015,Piet Baumgartner,,Kurz,
